MOVIE_ID,DOUBAN_SCORE,MINS,REGION,GENRE,ACTOR_ID,DIRECTOR_ID
1292487,7.6,119,6.549705305,6.460553993,7.151507513,6.992857143
1292493,6.3,94,6.737468037,6.529891806,6.388666667,6.783333333
1292495,7,126,6.549705305,7.030660636,6.753333333,7.16
1292498,7.3,126,7.100537153,6.855509313,7.358333333,7.74
1292502,7.6,91,7.069090909,6.881118836,7.7,7.825
1292503,5.8,90,6.382243395,6.361808955,5.891666667,6.71
1292504,8.5,128,7.136098881,6.70095347,7.771833333,7.16
1292505,6.3,115,6.695905284,6.210040347,6.718783069,6.35
1292507,7.3,115,6.549705305,6.568473648,7.122802198,7.319047619
1292509,8.1,86,6.549705305,6.639313736,7.378847297,7.333333333
1292510,8.1,115,6.81809439,6.754180334,7.25542358,7.475
1292515,8.9,110,6.991444529,6.445793534,7.93598545,8.113636364
1292516,8.6,126,6.549705305,6.650816447,7.904880952,7.185714286
1292518,7.9,150,6.549705305,6.953464436,7.188542284,7.57
1292519,7.7,98,6.549705305,6.305121919,7.524380952,7.7
1292521,7.9,108,6.549705305,6.718653641,7.476189394,7.51
1292523,8.1,127,6.549705305,6.279472207,7.565205321,7.9
1292531,8.2,126,6.549705305,6.776628293,7.119642014,7.57
1292534,6.2,91,6.549705305,5.565499255,6.2475,6.2
1292540,8.3,102,6.452890627,7.196073622,7.632323232,7.7
1292541,7.8,91,7.100537153,7.094744643,7.506571429,7.8
1292542,6.5,91,6.549705305,6.502919348,6.482821345,6.6
1292543,7.5,123,6.549705305,6.946442087,7.304513889,8.033333333
1292544,7.4,100,6.549705305,6.941272329,7.290909091,7.625
1292550,7.7,192,6.927858597,7.104809983,7.46014652,7.477777778
1292552,7,108,6.549705305,6.407966646,6.818978893,6.55
1292553,8.2,141,6.549705305,6.294256302,7.503931562,7.2
1292555,7.8,112,6.549705305,6.445793534,7.538017399,7.25
1292556,6.2,113,6.549705305,6.03055064,6.884947344,6.475
1292559,7.5,89,6.549705305,6.912684657,7.4325,7.25
1292561,6.9,141,6.549705305,6.729106826,7.367391304,7.6
1292565,8.2,133,6.549705305,6.582585491,7.493849206,7.785
1292569,7.7,103,6.549705305,6.776628293,7.235918061,6.591666667
1292571,8.8,142,6.549705305,7.126386382,8.250833333,8.8
1292572,6.6,109,6.549705305,6.445793534,6.906157407,6.625
1292573,7.1,130,6.825121229,6.280242243,7.011666667,6.86
1292574,8.8,120,6.549705305,6.652851356,8.25206734,7.816666667
1292575,6.8,114,6.549705305,6.460553993,7.257852564,6.591666667
1292577,7.4,108,6.549705305,6.729106826,6.854285714,6.125
1292580,6.5,122,6.853806516,6.463633724,6.80475,7.16
1292583,7.7,121,6.867709795,6.929400329,7.055277778,7.7
1292584,8,87,6.549705305,6.771704446,7.646212121,7.655555556
1292587,6.4,98,6.549705305,5.565499255,6.781333333,6.353846154
1292588,7.9,97,6.549705305,6.519852313,7.565714286,7.18
1292589,9.1,186,6.549705305,7.020326085,7.694409722,7.72
1292597,8.2,134,6.549705305,6.463633724,7.985772947,7.1
1292598,7.3,93,6.46597435,6.616568411,6.8875,7.6
1292599,7.1,96,6.549705305,6.109175305,7.003296703,6.8
1292600,7.5,132,6.549705305,6.809046612,7.361198662,6.733333333
1292601,7.6,100,6.382243395,6.405505386,6.46403654,6.993333333
1292604,6.8,81,6.549705305,6.590112465,7.180231352,7.316666667
1292618,6.2,94,6.549705305,6.633400818,6.192462204,7.225
1292619,7.9,100,7.086483476,6.729106826,7.294987469,7.9875
1292620,7,116,6.549705305,6.689674277,7.25,7.288235294
1292622,7.6,108,6.549705305,6.917148596,7.491666667,7.342857143
1292623,8,105,6.841519319,6.946442087,7.883333333,7.9
1292624,7,98,6.549705305,6.395129045,7.125510204,6.985714286
1292625,8.2,101,6.549705305,6.845098752,7.810204082,8.2
1292626,6.7,101,6.549705305,6.128588953,6.544444444,7.3
1292627,6.6,89,6.825121229,7.020326085,7.155925926,7.25
1292629,7.4,111,6.825121229,6.627777847,7.099175824,6.9875
1292630,7.4,108,6.549705305,6.665463192,7.292424242,7.185714286
1292633,7.9,98,6.382243395,6.427953344,6.543594402,6.475
1292638,6.9,130,7.100537153,6.280242243,6.868055556,6.82
1292639,6.6,90,6.549705305,6.096702915,6.589122995,6.3
1292644,8,130,6.549705305,6.855509313,7.414393939,7.4
1292645,6.6,109,6.825121229,6.084101797,7.19668616,6.625
1292647,6.8,92,6.549705305,6.768991751,6.835185185,6.9
1292649,8.2,110,6.549705305,6.675299314,7.581519247,7.32
1292651,7.6,93,6.549705305,6.683681197,7.525,7.111764706
1292660,8.2,157,6.549705305,6.733681742,7.294094969,6.6
1292662,6.5,84,6.549705305,6.529891806,6.720707071,6.15
1292663,8.1,98,6.824688538,6.703688336,7.688244576,7.25
1292664,7.4,98,6.549705305,6.210504284,7.291045851,7.325
1292667,7.9,111,6.549705305,6.855509313,7.197168803,7.125
1292670,6.2,100,6.549705305,6.941272329,6.411111111,6.2
1292671,8.4,120,6.896376652,6.84857851,7.403081233,8.4
1292672,7.1,101,6.549705305,6.637536061,7.401604278,7.333333333
1292673,7.7,96,6.549705305,6.675299314,7.193638631,7.7
1292674,7.1,87,6.737468037,6.294256302,7.06,7.1
1292676,7.2,105,6.610337341,6.519852313,7.041542484,7.254545455
1292677,7.5,130,6.825121229,6.280242243,7.200544977,7.2375
1292679,8.9,96,6.520873474,6.696290586,7.276221001,8.183333333
1292680,7.1,105,6.556583422,6.146172897,6.864448897,6.422222222
1292681,8,202,6.770574917,7.104809983,7.495924908,7.6
1292683,7.1,114,7.086483476,6.831862838,6.70952381,7.1
1292685,6.7,120,7.025946153,6.754180334,6.936512821,6.7
1292686,7.1,88,6.549705305,6.754180334,7.026666667,7.683333333
1292693,7.1,103,6.549705305,6.457224311,7.216666667,7.45
1292694,7.5,93,6.549705305,7.196073622,7.236637931,7.75
1292695,7.6,105,6.549705305,6.754180334,7.286867971,7.254545455
1292697,8.2,132,6.549705305,6.309221608,7.289393091,7.442857143
1292700,6.9,108,6.549705305,6.633400818,7.006523298,6.9
1292701,7.8,140,6.549705305,6.761952677,7.346538462,7.166666667
1292703,8,122,6.825121229,6.776628293,7.098069292,7.8
1292704,7.9,109,6.080020149,6.38865352,6.95551612,7.103703704
1292705,6.5,106,6.825121229,6.855509313,6.901798351,7.3
1292708,7.1,99,6.549705305,6.855509313,7.497222222,7.39
1292713,7,139,6.549705305,7.020326085,7.221212121,7.241666667
1292717,5.9,97,6.549705305,6.345514839,6.793650794,6.242857143
1292721,6.7,119,6.549705305,6.445793534,6.928328173,6.7
1292729,7,119,6.549705305,6.556218034,7.091893939,6.96
1292730,7,152,6.549705305,6.881088897,7.298817254,7.2
1292736,7.2,107,7.086483476,6.648749057,7.049711538,6.683333333
1292737,8.4,93,6.549705305,6.993313506,7.3125,7.5625
1292743,6.7,103,6.549705305,6.009946893,6.747530864,6.7
1292744,7.9,97,6.549705305,6.554566498,7.638888889,7.191428571
1292745,8.6,110,7.005857122,7.196073622,7.602857143,7.166666667
1292746,6.8,107,6.549705305,6.666948157,7.117300324,7.258333333
1292747,7.1,137,6.549705305,6.957224018,7.175615385,7.7
1292749,6.9,105,6.964940257,6.732453364,6.686357907,6.6875
1292750,7.4,137,6.549705305,6.729106826,7.071269841,7.184615385
1292751,6.7,104,6.549705305,6.541671573,6.971641547,7.1
1292752,6.3,120,6.549705305,6.754180334,6.523055556,6.3
1292757,8.3,88,6.549705305,7.070102471,8.35,8.2375
1292758,6.6,102,6.549705305,6.675299314,7.244241071,6.35
1292759,8,133,6.549705305,7.020326085,7.261458333,7.54
1292760,8.1,96,7.100537153,6.393001341,7.645833333,7.191428571
1292762,8,117,6.549705305,6.729106826,7.75719697,7
1292763,7.8,97,7.359908405,6.946442087,7.6625,7.627272727
1292764,8.1,103,6.549705305,6.703688336,7.426794823,7.666666667
1292767,7.6,118,6.549705305,6.917148596,7.394642857,7.471428571
1292769,7.8,151,6.549705305,6.177387019,6.839840936,7.583333333
1292772,8.2,109,6.549705305,6.735369314,7.844651163,7.664285714
1292773,7.7,108,7.086483476,6.729106826,7.598,7.692307692
1292774,7.1,123,6.549705305,6.853260076,7.226388889,7.775
1292778,9,67,6.549705305,6.662940825,8.93,8.52
1292780,7.8,103,6.549705305,6.70095347,7.497492647,7.8
1292781,7.8,170,6.549705305,6.946442087,6.931272121,6.8
1292782,5,83,6.741390274,6.122768477,6.126753394,6.69503632
1292793,7.2,105,6.81809439,6.463633724,7.189147287,7.3
1292796,7.2,117,7.086483476,6.613193944,7.25734127,7.233333333
1292798,7.1,132,6.825121229,6.702405191,7.120242727,7.55
1292799,6.3,117,6.549705305,6.602114485,6.963988095,7.471428571
1292806,7.6,91,6.549705305,6.433992027,7.279807692,7.6
1292807,7.1,102,6.549705305,6.776628293,6.659051796,7.22
1292808,6.7,118,6.549705305,6.729106826,7.317222222,7.51
1292810,7,118,6.549705305,6.729106826,7.228571429,7.3
1292812,8.2,91,6.549705305,6.754180334,7.956,6.775
1292815,7.1,115,7.100537153,6.946442087,7.291333333,7.488888889
1292818,6.8,66,6.549705305,6.627777847,7.120833333,6.7
1292819,6.8,133,6.549705305,6.845132005,6.866666667,7.116666667
1292827,6.3,95,6.549705305,6.470468334,6.797571429,7.2
1292828,6.7,100,6.784296029,6.652851356,6.744055556,7.508333333
1292829,7.3,86,6.549705305,6.33429086,6.9095,7.2
1292830,8.4,128,8.089473684,6.946442087,8.377272727,8.4
1292834,7.2,114,6.549705305,6.322631109,6.937673993,6.533333333
1292838,7.6,109,6.549705305,6.706389949,7.420238095,7.184210526
1292840,7.5,112,6.549705305,6.627777847,7.101606061,7.184210526
1292843,6.9,102,6.382243395,6.656783412,6.645581261,6.993333333
1292845,6.9,131,6.825121229,6.488905289,6.967023562,6.86
